Topics,Words,Translate
Millenials,,
,adulting,взросление
,can-do attitude,отношение к делу
,coddled,изнеженный
,cram smth with smth,впихивать что-л в что-л
,cut someone some slack,дать кому-то послабление
,entitled,озаглавленный
,fad,причуда
,in dire straits,в отчаянном положении
,make a commitment,сделать комплимент
,make a meaningful contribution,внести значимый вклад
,pursue,преследовать
,seek challenges,искать вызовы
Dating,,
,a catch,улов
,a keeper,хранитель
,DM,ДМ
,dump,свалка
,hang out,тусоваться
,have a crush on,влюбиться в
,hit it off,найти общий язык
,hook-up,монтировать
,lead smb on,подвести кого-л. к
,make a move on,сделать шаг вперед
,one-night stand,секс на одну ночь
,significant other,вторая половинка
,split up with,рассталась с
,stand smb up,встать
Trends,,
,“it” thing,&quot;это&quot; вещь
,a killer something,убийца что-то
,be in,быть в
,be out,выйти
,brand new,совершенно новый
,endorse a craze,поддерживать повальное увлечение
,fall for the hype,попасться на ажиотаж
,lose appeal,потерять апелляцию
,passing trend,преходящий тренд
,revive a trend,возродить тенденцию
,sought-after,востребованный
,take off,Отгул
,the latest thing,последняя вещь
,top-notch,превосходный
Presenting a Product,,
,anticipate,предвидеть
,appeal to,апеллировать к
,by word of mouth,устно
,emphasize the perks,подчеркнуть преимущества
,endorse,одобрять
,enticing,соблазнительный
,hit the target audience,попасть в целевую аудиторию
,launch,запуск
,purchase smth just for kicks,покупать что-то просто так
,sample,образец
,susceptible to impulse buying,подвержен импульсивным покупкам
,woo the customers,ухаживать за клиентами
Habits,,
,avoid using fillers,избегать использования наполнителей
,be aware of one’s gestures,следить за своими жестами
,be on one’s game,быть в игре
,blink rapidly,быстро моргать
,boost one’s confidence,повышать свою уверенность
,convey feelings,передавать чувства
,dispel preconceptions,развеять предубеждения
,fidget nervously,нервно ерзать
,giggle hysterically,истерически хихикать
,maintain eye contact,поддерживать зрительный контакт
,make a snap judgment,сделать поспешный вывод
,mirror body language,зеркальный язык тела
,mumble unintelligibly,бормотать неразборчиво
,shift one’s eyes,перевести взгляд
,showcase body parts,показать части тела
,slouch one’s shoulders,сутулиться
,stare at one’s interlocutor,пристально смотреть на собеседника
,use non-verbal cues,использовать невербальные сигналы
Psychological Problems and Therapy,,
,be in therapy,находиться на терапии
,seek therapy,обратиться за терапией
,undergo therapy,пройти терапию
,child abuse,жестокое обращение с ребенком
,substance abuse,злоупотребление алкоголем или наркотиками
,power abuse,злоупотребление властью
,compulsion to eat,принуждение к еде
,compulsion to check everything,принуждение все проверять
,compulsion to review decisions,принуждение к пересмотру решений
,confront intrusive thoughts,бороться с навязчивыми мыслями
,confront phobias,противостоять фобиям
,confront anxiety,противостоять тревоге
,distinguish delusions,различать бред
,harbor delusions,питать иллюзии
,have delusions,бред
,drug addiction,наркотическая зависимость
,gambling addiction,Игромания
,gaming addiction,игровая зависимость
,eating disorder,расстройство пищевого поведения
,mental disorder,расстройство психики
,bipolar disorder,биполярное расстройство
,emotional malaise,эмоциональное недомогание
,psychological malaise,психологическое недомогание
,social malaise,социальное недомогание
,fit of depression,приступ депрессии
,fit of panic,приступ паники
,fit of rage,приступ ярости
,obsession with religion,одержимость религией
,obsession with cleanliness,одержимость чистотой
,obsession with health,одержимость здоровьем
,suffer from panic attacks,страдают паническими атаками
,suffer from schizophrenia,страдать шизофренией
,suffer from sleep deprivation and insomnia,страдают от недосыпания и бессонницы
Role Models,,
,adulation,лесть
,advocate for,выступать за
,campaign for,кампания за
,change agent,сменить агента
,empower,уполномочивать
,follow in someone’s footsteps,идти по чьим-то стопам
,idolize smb for smth,боготворить кого-л. за что-л.
,look up to,смотреть на
,profound impact,глубокое воздействие
,promote,продвигать
,show one’s appreciation,показать свою признательность
,take one’s hat off to,снять шляпу перед
,worship,поклонение
Risk,,
,assess potential hazards,оценить потенциальные опасности
,be hooked on,быть на крючке
,be scared stiff,быть напуганным
,bold,смелый
,daredevil,смельчак
,gamble,азартная игра
,handle the tension,справиться с напряжением
,harness one’s fear,обуздывать свой страх
,have the courage to,"иметь мужество, чтобы"
,lure,приманка
,make one’s palms sweat,заставить ладони потеть
,perform stunts,выполнять трюки
,play with fire,играть с огнем
Ideas and Creativity,,
,buzz with ideas,кайф от идей
,do brainstorming,провести мозговой штурм
,embrace,объятие
,fade away,исчезать
,feel stuck,чувствовать себя застрявшим
,idea-sparking mindset,"мышление, порождающее идеи"
,immerse in,погрузиться в
,improve a creative workflow,улучшить творческий рабочий процесс
,knack for creativity,способность к творчеству
,random musing,случайные размышления
,revelation,откровение
Adjectives to Describe Art,,
,appalling,ужасный
,bizarre,странный
,breathtaking,захватывающий дух
,dazzling,ослепительный
,grotesque,гротеск
,marvelous,чудесный
,mesmerizing,завораживающий
,thought-provoking,наводящий на размышления
,tranquil,спокойный
,vibrant,яркий
Physical Exercises,,
,do a plank,делать планку
,hold a plank,держать доску
,do back extension,сделать разгибание спины
,do bench press,делать жим лежа
,do biceps curls,сгибание рук на бицепс
,do chest flies,делать грудные мухи
,do crunches,делать кранчи
,do deadlifts,делать становую тягу
,do leg press,делать жим ногами
,do lunges,делать выпады
,do pull-ups,делать подтягивания
,do pushdowns,делать отжимания
,do push-ups,делать отжимания
,do sit-ups,делать приседания
,do splits,делать шпагат
,do squats,делать приседания
,do treadmill session,сделать тренировку на беговой дорожке
,do triceps dips,делать отжимания на трицепс
,stretch,протяжение
Dieting,,
,binge eating,переедание
,body shaming,позор тела
,comfort food,привычная пища
,crash diet,экстремальная диета
,cut down on,сократить
,pig out on gargantuan portions,наедаться гигантскими порциями
,premature death,преждевременная смерть
,reduce someone’s lifespan,сократить чью-то жизнь
,sedentary lifestyle,сидячий образ жизни
,shed the flab,избавиться от дряблости
,size-ist attitude,размеристское отношение
,tone up,повышать тонус
Describing Appearance,,
,bandy-legged,кривоногий
,bulbous nose,выпуклый нос
,bulging eyes,выпученные глаза
,complexion,цвет лица
,crooked teeth,Кривые зубы
,cross-eyed,косоглазый
,skew-eyed,косоглазый
,crow’s feet,гусиные лапки
,curvy,соблазнительный
,curves,кривые
,dimples,ямочки на щеках
,flabby stomach,дряблый желудок
,freckles,веснушки
,goatee,эспаньолка
,mole,крот
,pimples,прыщи
,ripped body,разорванное тело
,snub-nose,курносый
,stye,ячмень
,wart,бородавка
Mythical Things,,
,alien,инопланетянин
,extreterrestrial life ,внеземная жизнь
,conspiracy theory,Теория заговора
,curse,проклинать
,dwarf,карлик
,fairy,сказочный
,fortune teller,гадалка
,genie,джинн
,love potion,эликсир любви
,mermaid,Русалочка
,male: merman,мужчина: водяной
,mummy,мумия
,mythical beast,мифический зверь
,ogre,людоед
,psychic,психический
,sorcerer,колдун
,female: sorceress,женщина: волшебница
,the UFO,НЛО
,unicorn,единорог
,werewolf,оборотень
,wicked witch,злая ведьма
,male: wizard,мужчина: волшебник
Urban Myths,,
,back up your story,сделайте резервную копию своей истории
,be taken in by,быть принятым
,fake news,фейковые новости
,fall for,влюбляться
,fallacy,заблуждение
,hard to swallow,трудно проглотить
,hoax,розыгрыш
,irrefutable proof,неопровержимое доказательство
,superstition,суеверие
,tall tale,небыль
,fish story,рыбная история
,urban legend,городская легенда
,urban myth,городской миф
Globetrotting,,
,get a little R&R,немного отдохнуть и расслабиться
,globetrotting vagabond,странствующий бродяга
,have a blast,взрыв
,jet off,взлететь
,nomadic lifestyle,кочевой образ жизни
,off-the-beaten-track,нестандартный
,on the road,в дороге
,roam about,бродить
,secluded area,уединенное место
,take the plunge,делать решительный шаг
,tick destinations off one’s bucket list,отмечать пункты назначения в своем списке желаний
,traverse the globe,пересечь земной шар
Life in the City,,
,abandoned,заброшенный
,come across,встретить
,congestion,скопление
,crammed with,битком набитый
,diverse,разнообразный
,dodgy area,сомнительный район
,exorbitant prices,непомерные цены
,get by,получить мимо
,haunt,преследовать
,picturesque,живописный
,put up with,смириться с
,rip off,сдирать
,slums,трущобы
,strike up a friendly chit-chat,завязать дружескую болтовню
,vibrant,яркий
In the Wilderness,,
,animals tracks,следы животных
,be in the open,быть на открытом воздухе
,collect dew,собирать росу
,edible,съедобный
,element,элемент
,emergency kit,аптечка
,fallen debris,упавшие обломки
,flee,бежать
,keep an eye out for,следить за
,predator,хищник
,procure water,добывать воду
,shelter,приют
,trail,тащить
Animal Idioms,,
,a whale of time,кит времени
,act as a guinea pig,действовать как морская свинка
,an elephant in the room,слон в комнате
,at a snail’s pace,со скоростью улитки
,chicken out of,цыпленок из
,dog-eat-dog world,собачий мир
,get one’s ducks in a row,получить утки в ряд
,go ape over smth,сходить с ума по чему-л.
,have bigger fish to fry,есть большая рыба для жарки
,hit the bull’s eye,попасть в яблочко
,hold one’s horses,придержать лошадей
,smell a rat,заподозрить неладное
,take the bull by the horns,взять быка за рога
,the world is your oyster,мир это твоя жемчужина
,wild goose chase,погоня за дикими гусями
Environment,,
,be exposed to exhaust fumes,подвергаться воздействию выхлопных газов
,contaminate water,загрязнять воду
,cut down on CO2 emissions,сократить выбросы CO2
,diminish pollution,уменьшить загрязнение
,dump toxic waste,свалка токсичных отходов
,energy overconsumption,перерасход энергии
,environmental awareness,экологическая осведомленность
,natural disaster,природная катастрофа
,oil spill,разлив нефти
,sort garbage,сортировать мусор
,sustainable living,устойчивая жизнь
Pollution Verbs,,
,biodegrade,биоразлагаться
,conserve,сохранить
,corrode,ржаветь
,decay,разлагаться
,decompose,разложить
,dispose of,распоряжаться
,eliminate,ликвидировать
,emit,испускают
,erode,разрушать
,phase out,постепенно прекращать
,preserve,сохранять
,scale down,уменьшать
Three-word Phrases,,
,around and about,вокруг и около
,back and forth,взад и вперед
,by and large,в общем и целом
,dead and buried,мертв и похоронен
,dos and don’ts,можно и нельзя
,ins and outs,Входы и выходы
,over and out,конец связи
,safe and sound,целый и невредимый
,trial and error,методом проб и ошибок
,tried and tested,пробовал и тестировал
,up and running,и работает
,wine and dine,вино и обедать
Making a Breaktrhough,,
Future of Humanity,,
,anticipated problems,ожидаемые проблемы
,cutting-edge,передовой
,daunting prospect,пугающая перспектива
,exposed to radiation,облучение
,fatality,фатальность
,hazardous,опасный
,hostile environment,враждебная среда
,insidious risk,коварный риск
,pose a serious threat,представлять серьезную угрозу
,settle,решить
,spacecraft,космический корабль
,techie,технарь
Privacy,,
,CCTV camera,CCTV камера
,classified information,классифицированная информация
,data mining,сбор данных
,eavesdrop,подслушивать
,identity theft,кража личных данных
,privacy breach,нарушение конфиденциальности
,raise one’s suspicion,вызывать подозрения
,stalk,стебель
,surveillance apathy,апатия к наблюдению
,tap,нажмите
,tapped,постучал
,track,отслеживать
Weapon Idioms,,
,at gunpoint,под прицелом
,bring a knife to a gunfight,принести нож в перестрелку
,burn bridges,сжигать мосты
,bury the hatchet,зарыть топор войны
,cross swords,скрещенные мечи
,dodge the bullet,увернуться от пули
,drop the bombshell,сбросить бомбу
,fight a losing battle,вести проигрышную битву
,get an axe,получить топор
,in the line of fire,на линии огня
,keep one’s powder dry,держать порох сухим
,"lock, stock and barrel","замок, приклад и ствол"
,long shot,длинный выстрел
,pull the trigger,спустить курок
Making Decisions,,
,assess the situation,оценить ситуацию
,between a rock and a hard place,между молотом и наковальней
,cross the line,пересечь линию
,dubious decision,сомнительное решение
,feel perplexed,чувствовать себя озадаченным
,go through with a decision,пройти с решением
,in a predicament,в затруднительном положении
,morally ambiguous,морально двусмысленный
,no-brainer,легкая задача
,opt for the lesser of two evils,выбрать меньшее из двух зол
,sit on the fence,занимать выжидательную позицию
,toss a coin,бросить монету
Copyright,,
,cease-and-desist (letter),прекращение действия (письмо)
,combat piracy,борьба с пиратством
,copyright infringement,Нарушение авторского права
,counterfeit goods,контрафактные товары
,give credit to,отдать должное
,liable for monetary damage,ответственность за денежный ущерб
,pay royalties,платить роялти
,sue the offender,подать в суд на преступника
,up for grabs,для захватов
,use a loophole,использовать лазейку
